id,claim,explanation,actual,predicted,correct,time_sec
54,DNC staffer Seth Rich was gunned down to prevent him from meeting with the FBI over plans to testify against Hillary Clinton.,"While it’s true police maintain an open investigation into Seth Rich’s death, the claim connecting him to Hillary Clinton was the third of its sort to emerge from the same conspiracy-monger in mid-2016. All those rumors were variations on the long-circulating (and false) “body bags” claims that the Clintons habitually do away with once-loyal associates turned political liabilities. Prior to publishing the trio of Clinton-related fabrications, the same site and blogger held that President Obama had ordered the military to nuke the city of Charleston (which didn’t happen), that Rear Admiral Rick Williams was fired because he revealed Obama’s purchase of a mansion in Dubai (Williams was actually terminated for misconduct), and that Vladimir Putin and Barack Obama were enmeshed in a potentially conflict-starting dispute over the practices of the Monsanto agribusiness corporation.",False,False,True,0.19826459884643555
55,"Under an 1866 Supreme Court ruling, stay-at-home orders are illegal and can be disregarded with impunity","The post misattributed a quote from a 1935 Illinois Supreme Court decision about Chicago judicial salaries   The original quote refers to the Illinois Constitution and the laws that created the Municipal Court of Chicago, not the U.S. constitution   The Supreme Court has ruled in the past that the rights of a citizen can be restricted by the state for the “common good” during a health crisis",False,False,True,0.19855237007141113
56,Vixen workouts fuse foxy cardio fitness with girls’ night out.,"Before the music begins members of the women-only exercise class, dressed in shredded tank tops, full makeup and wedged sneakers, pose seductively before studio mirrors and chant, “Yes, I’m sexy. Yes, I’m fierce. Yes, I’ve got this.”",True,False,False,0.19707465171813965
57,Knife suspect detained under UK’s Mental Health Act.,Police said Saturday that a man who allegedly lunged at shoppers with a knife at a northwestern England mall has been detained under the Mental Health Act.,True,True,True,0.15854859352111816
58,Low-carb diet trumps low-fat on ‘good’ cholesterol,"""The story makes it seem like the HDL cholesterol effect was the main thrust of the study, and it was not. Overall the story appears to slant in favor of the low-carb approach (e.g., """"a low-carb diet works just as well … and it might be better for your heart""""), despite the main result of the study finding essentially no difference between the two diets on most outcomes. Why emphasize that """"The key difference was in HDL"""" without explaining the absolute differences and without explaining if that surrogate marker resulted in any difference in endpoints that matter, such as fewer heart attacks? Americans are already overly obsessed with """"scores."""" Emphaszing the HDL difference without adequately explaining its real significance in peoples’ lives feels like more scoreboard-watching without knowing the rules of the game.""",Misleading,False,False,0.20945501327514648
59,"Regular painkillers work as well as opioids for sprains, strains and fractures","The news story reports on the findings of a recent study published in JAMA, which evaluated the effectiveness of four painkillers in addressing acute arm or leg pain in emergency room patients. One of the painkillers was a combination of the over-the-counter medications acetaminophen and ibuprofen; the other three painkillers were combinations of acetaminophen and an opioid (oxycodone, hydrocodone or codeine). The study found that — within the two-hour window being evaluated — there was no statistical significant difference in the effectiveness of the four drugs, indicating that acetaminophen/ibuprofen is a viable alternative to opioids for addressing acute pain. The story is exceptionally concise — a news brief rather than a feature — but does a good job of describing the study and placing it in the context of the “opioid crisis” in the U.S. But much like a related news release, which we also reviewed, the story fails to place the findings in context with previous research on the relative efficacy of opioid and non-opioid painkillers. The story does a lot of things well, particularly given its brevity. It describes the study well and makes clear that the study is important because of the ongoing opioid crisis in the United States. As we noted when reviewing a news release on this study, the American Society of Addiction Medicine reports that at least 2 million Americans had an addiction to prescription painkillers in 2015 — and more than 20,000 people died from prescription painkiller overdoses in the same year. And data from the National Institute of Drug Abuse show that this problem is on the rise. However, any story about research findings will be stronger if it explains how new findings are consistent with or differ from previous research in the field. That may be especially true here. If this story aimed to highlight the finding that non-opioid painkillers are comparable in effectiveness to opioid painkillers, it could have mentioned any of several studies (cited in the journal article) that had similar findings in post-surgical settings.",Misleading,True,False,0.199873685836792
60,Knife suspect detained under UK’s Mental Health Act.,Police said Saturday that a man who allegedly lunged at shoppers with a knife at a northwestern England mall has been detained under the Mental Health Act.,True,True,True,0.1586010456085205
61,Mammogramsâ€™ Value in Cancer Fight at Issue,"This story offers readers a comprehensive overview of the study of screening mammography in Norway. It clearly explains how this study is different from earlier examinations of the effect of mammography, so that readers can get a better understanding of why the results of this latest study are different from what has been reported in the past. This story does a good job of presenting the comments of experts who have different interpretations of the results of the study, so that readers can see their conclusions in context, rather than just a “he-said-she-said” argument. The story also highlights the role of the multidisciplinary treatment teams available to all the women who were screened with mammography in Norway, thus making clear that screening is just one component of a overall approach to dealing with breast cancer. Readers of this story will see the new results as a useful addition to other evidence on the value of mammography screening. By providing proper context, the story helps readers understand why these researchers concluded that mammography may have smaller benefits than had been believed, so that the latest findings can be seen as an advance in understanding, rather than a contradiction of earlier reports.",True,False,False,0.19933295249938965
62,"On July 7 2020, new cases of coronavirus numbered 298 in Germany, 10 in Denmark, 11 in Norway, 57 in Sweden, and 55,442 in the United States.","A tweet from political scientist Brian Klaas correctly transposed COVID-19 figures for four of the five countries as they appeared on Worldometers.info — the United States, Germany, Denmark, and Norway. The figures for Sweden were inaccurately transcribed as 57, versus the site’s claim of 295. However, the veracity of Worldometers.info’s statistics was unclear, and its number of new cases listed for United States on July 7 2020 undercounted them by about 5,000. In actuality, we know of no centralized source providing completely vetted figures by date and by country.",Misleading,False,False,0.20381927490234375
63,Adolf Hitler never used chemical weapons (against his own people).,"Two days before Spicer’s remarks, French presidential candidate Marine Le Pen was criticized in her country for trying to downplay the role of French citizens who collaborated with the Germans in the deportation of Jewish citizens to Nazi camps in 1942, saying: “I think that in general, more generally, if there were those responsible, it was those who were in power at the time. This is not France.”",False,True,False,0.15949702262878418
64,Knife suspect detained under UK’s Mental Health Act.,Police said Saturday that a man who allegedly lunged at shoppers with a knife at a northwestern England mall has been detained under the Mental Health Act.,True,True,True,0.15848445892333984
65,"""Amid a nationwide COVID-19 lockdown, Italians reported seeing wildlife such as swans and dolphins """"returning"""" to newly tranquil waterways, ports, and canals.""",What's true: Dolphins and swans were indeed spotted in some of Italy's waterways after the nationwide lockdown was imposed. What's false: Dolphins and swans swimming in Italy's waterways were not necessarily new phenomena related to reduced human activity during the COVID-19 lockdown.,Misleading,False,False,0.19812679290771484
66,China defends against incoming second wave of coronavirus.,"A growing number of imported coronavirus cases in China risked fanning a second wave of infections when domestic transmissions had “basically been stopped”, a senior health official said on Sunday, while eased travel curbs may also add to domestic risks.",True,False,False,0.20118999481201172
67,Collins bill to combat Lyme and other tick diseases moves on.,A U.S. Senate committee is advancing a proposal from Sen. Susan Collins to improve research about Lyme disease and other tick-borne infections.,True,True,True,0.15873241424560547
68,West St. Paul police required to speak to therapist.,A new initiative in West St. Paul requires police officers to have an annual mental health wellness checkup.,True,False,False,0.20053410530090332
69,Low-carb diet trumps low-fat on ‘good’ cholesterol,"""The story makes it seem like the HDL cholesterol effect was the main thrust of the study, and it was not. Overall the story appears to slant in favor of the low-carb approach (e.g., """"a low-carb diet works just as well … and it might be better for your heart""""), despite the main result of the study finding essentially no difference between the two diets on most outcomes. Why emphasize that """"The key difference was in HDL"""" without explaining the absolute differences and without explaining if that surrogate marker resulted in any difference in endpoints that matter, such as fewer heart attacks? Americans are already overly obsessed with """"scores."""" Emphaszing the HDL difference without adequately explaining its real significance in peoples’ lives feels like more scoreboard-watching without knowing the rules of the game.""",Misleading,False,False,0.20031428337097168
70,Cautionary note about prostates,"""First, kudos to the Baltimore Sun for affording this piece almost 1,000 words at a time when many health news stories are limited to 300 words. This is a thoughtful story reporting on the results of a recent study which found that the use of hormone therapy in the treatment of localized prostate cancer in older men was not beneficial. Particular strengths of the story include:  Terrific interview segments with the lead author and with two urologists. The perspective that some urologists may have once seen a """"financial windfall"""" in the use of hormone therapy, explaining some of the expansion in its use. One weakness:  The story could have (should have?) added the important point that screening for prostate cancer is not proven effective yet and remains controversial. One of the reasons so many elderly men are thrown into this difficult decision-making thicket is that the use of the PSA blood test has led to many men being diagnosed with prostate cancers of unknown significance, and leading many of them to pursue the hormone therapy that they felt rendered benefit without side effects. Bottom line of this study:  that theory was wrong.""",True,False,False,0.20114350318908691
71,The biggest job of the surgeon general is to translate health care and health care needs into plain English.,"Surgeon General is more than spokesman, oversees public health",Misleading,True,False,0.20004940032958984
72,HOW TO LOSE WEIGHT: TWO-WEEK DIET BETTER FOR DROPPING POUNDS,"This article describes a small and limited study (men only!) concluding that “intermittent” dieting that gives participants alternating cycles of two weeks of less restrictive weight-maintenance eating after two weeks of more restrictive calorie counts results in more weight loss over time. The article properly notes the potential benefits of such a plan–better compliance and some possible metabolic assist that prevents dieting “plateaus” that frustrate so many trying to lose pounds. But while the article acknowledges the flaws in most trendy diets, it doesn’t offer readers enough specific information to determine whether this variation on the dietary theme will work for them any better than any other diet. For example, it doesn’t say what the two arms of the intermittent diet included in actual calorie counts and/or foods; what the starting and ending average weights were for the study group; or even how the researchers kept track of what the participants were actually eating or doing other than (presumably) weighing them every two weeks. It’s hard to exaggerate the confusion, frustration, misinformation, disinformation, and potential harm perpetrated by the gazillion diets proffered by those with and without any scientific basis to the growing numbers of obese and overweight in the U.S. and worldwide. Indeed, this Newsweek article starts out with just that notion, but can’t resist promoting yet another one based on very limited evidence and information. Diet studies are guaranteed instant news hooks, so it’s important that stories about them offer abundant context and detail.",Misleading,False,False,0.20283246040344238
73,FDA OKs Implantable Telescope to Aid Vision,"""This story called the technology a """"breakthrough."""" In contrast, the AP story quoted the same researcher emphasizing """"We’re not giving people back 20-year-old eyes."""" Tone and framing are important in health care stories. This one relied a bit too much on the enthusiasm that came from a company news release. Since the story was posted a day later than AP’s, we don’t understand why it had to rely on quotes from a company news release.""",Misleading,True,False,0.1791539192199707
74,"""Karen Handel """"would have felt like it was OK to go in and abort"""" Sarah Palin's son Trig, who has Down syndrome.""",Group says GOP candidate Karen Handel would be OK aborting child with Down syndrome,False,True,False,0.1576998233795166
75,New test under development could find single cancer cell in blood,"Researchers and company cut a deal to support research on a test that finds circulating tumor cells. Company announces the deal. News story regurgitates the company announcement without examination. If CNN was going to rewrite someone else’s work, it would have been better off rewriting Dr. Len Lichtenfeld’s blog post from the American Cancer Society website, since it gave a cautious, analytical overview that this piece lacked. Lichtenfeld was quoted at the very end of this piece, but the quote was far less meaty than what appeared on his blog. A case in which medical blogger outshines international news network? Cancer is a leading cause of death. No disease incites greater fear. There is great demand for tests that could improve cancer outcomes. Stories about potential advances in this area should be careful not to make promises that are not supported by evidence and they should also clearly outline the risks and limitations of testing.",False,False,True,0.19713926315307617
76,First daughter Ivanka Trump was granted a trademark on coffins in China and stands to profit from the COVID-19 pandemic.,"What's true: Ivanka Trump's company holds a variety of trademarks in China, including one for coffins. What's false: However, this trademark was granted in 2018, well before the COVID-19 pandemic occurred. Moreover, Ivanka Trump shuttered her business in July 2018 to focus on work for the White House and there is no evidence she is involved in manufacturing or selling coffins in China or elsewhere.",Misleading,False,False,0.19569063186645508
77,Drinking Green Tea May Protect Eyes,"The leap from rats drinking green tea to possible benefits in humans is never mentioned. Enough said. This is the kind of story that contributes to journalism losing impact and credibility. And HealthDay subscribers like HealthFinder.gov and Drugs.com pick up and republish a story like this – spreading it even further. Readers are flooded with info like this in a tsunami of information overload. Meantime, no one is any smarter from this story about how to evaluate evidence.",False,False,True,0.19623994827270508
78,"In 1862, Abraham Lincoln ordered the execution by hanging of 38 Dakota Sioux fighters.","What's true: Lincoln approved the execution of 39 Dakota men convicted by a military commission of perpetrating massacres during the Dakota War of 1862. What's false: The military commission had sentenced 303 Dakota fighters to death, but Lincoln commuted 264 of those sentences despite threats of mob violence and intense pressure to reverse his decision.",Misleading,False,False,0.20261573791503906
79,New method could make IVF more effective,"This year’s Nobel Prize in Medicine went to Robert Edwards, a UK physiologist who, over 30 years ago, developed the technique for in-vitro fertilization (IVF). Since then, IVF has become an enourmous industry. An individual cycle of IVF can cost $10-15,000 but the average chance of success is roughly 1 in 5 (varying widely according to many factors). Therefore, any improvements in the technique to improve the success rate is welcome news to potential parents. This story reports on a new technique that entails observing the embryo divide and develop to attempt to predict which ones would have the highest chance of success. While this method may be truly an advancement in IVF technology, this story does little to educate readers on its potential importance. It provides inadequate information about the availability, costs and potential harms of IVF. It does not discuss the strength of the evidence to support the new technique nor does it describe the success rates of the procedure compared to existing methods. The story does not quote any independent sources that could have provided some perspective on the importance of the results, which is sorely missing from this story. Most distressing, the story exagerrates the perils of pregnancy by providing such scary statistics as the 50% miscarriage rate. In doing so, it overstates the need for reproductive assistance technologies, including IVF. In the end, this story appears to be little more than a thinly-veiled advertisement for IVF, an industry which is in little need of help. Couples who seek to have children using IVF face high costs and frequent failures. Stories on this topic must tread carefully to not raise unwarranted hopes.",False,True,False,0.20765948295593262
80,Low-carb diet trumps low-fat on ‘good’ cholesterol,"""The story makes it seem like the HDL cholesterol effect was the main thrust of the study, and it was not. Overall the story appears to slant in favor of the low-carb approach (e.g., """"a low-carb diet works just as well … and it might be better for your heart""""), despite the main result of the study finding essentially no difference between the two diets on most outcomes. Why emphasize that """"The key difference was in HDL"""" without explaining the absolute differences and without explaining if that surrogate marker resulted in any difference in endpoints that matter, such as fewer heart attacks? Americans are already overly obsessed with """"scores."""" Emphaszing the HDL difference without adequately explaining its real significance in peoples’ lives feels like more scoreboard-watching without knowing the rules of the game.""",Misleading,False,False,0.2010338306427002
81,Animated GIF accurately shows a massive spike in jobless claims and unemployment during the COVID-19 pandemic in 2020.,‘Mammoth Unemployment Claims in Their Historical Context’ GIF,Misleading,False,False,0.199476957321167
82,Rapunzel was quarantined in Tangled and she was from the kingdom of Corona.,"Rapunzel Was Quarantined in ‘Tangled,’ Google the Name of Her Kingdom?",Misleading,False,False,0.19985246658325195
83,Resveratrol May Slow Aging in Humans,"""An egregious headline shouts """"Resveratrol May Slow Aging in Humans."""" But 10 people took the active substance in the trial  and the only outcomes reported in the story were intermediate or surrogate markers – blood levels of various """"pro-inflammatory markers."""" Read Dr. Michael Kirsch’s excellent blog post, """"Evidence-based Medicine in Disguise:  Beware the Surrogate!"""" This is exactly the kind of story he describes when he wrote, """"Why do some medical studies, which achieve breaking news status, often fall so short of our expectations?"""" Gullible people may jump at anti-aging stuff in the news. This study is far from being ready for prime-time – and so was the story.""",False,False,True,0.21114373207092285
84,"""Karen Handel """"would have felt like it was OK to go in and abort"""" Sarah Palin's son Trig, who has Down syndrome.""",Group says GOP candidate Karen Handel would be OK aborting child with Down syndrome,False,True,False,0.15563440322875977
85,"U.S. President Donald Trump has been the target of multiple accusations that he raped children aged 13 and younger, and he paid at least $35 million to settle most of those claims.","""What's true: A woman using the pseudonym """"Katie Johnson"""" has twice filed a civil lawsuit against Trump and billionaire Jeffrey Epstein accusing them of having sexually abused her when she was 13 years old, but those lawsuits were dismissed or withdrawn. What's false: No evidence supports the claim that Trump has paid upwards of $35 million to silence accusations that he raped several children ranging in age from 10 to 13.""",False,False,True,0.1991748809814453
86,"""Federal law for Obamacare navigators """"does not bar — or even require screening for — convicted felons, including individuals convicted of identity theft or fraud.""","""Sessions said federal law related to Obamacare navigators """"does not bar—or even require screening for—convicted felons, including individuals convicted of identity theft or fraud."""" That’s correct, but this claim is missing important meaningful information. For instance, it fails to note that the federal government has an Excluded Parties list that prevents grants from going to agencies not in good standing. Also, the claim doesn’t acknowledge that states are permitted to impose background checks. A Texas agency was already weighing such a mandate when Sessions made this claim while nationally, other states have done so or are considering as much. Finally, this claim fails to note that the biggest Texas contractor for navigators has reported conducting a background check of each navigator it hired.""",Misleading,False,False,0.1956624984741211
87,Some 18 million 'illegal immigrants' received benefit checks during a government shutdown in January 2019.,"The National Council of State Legislature explains that illegal immigrants may receive some benefits under certain circumstances, such as emergency medical care or disaster relief, and undocumented children also have access to public schools. None of the potential benefits available to illegal immigrants listed by the NCSL, however, would result in the government’s issuing checks to undocumented immigrants:",False,False,True,0.195953369140625
88,"""The Department of Defense has planned communications drills to coincide with """"antifa protests"""" on 4 November 2017.""","Both MARS and English explicitly stated no blackout would occur in relation to the exercise, a quarterly training which began in 2013 and antedated Antifa. The claim is not the first to raise alarms over basic disaster drills. For example, the Jade Helm conspiracy theory appeared in 2016; the next year, a rumor appeared about Federal Emergency Management Agency drills in the Pacific Northwest called “Cascadia Rising.” In both instances, the numerous conspiracy-related claims amounted to nothing and the events were carried off without any “false flag” activity.",False,True,False,0.16044378280639648
89,"In New York, confusion reigns in the emerging CBD edibles business.","New York state officials told food growers and processors in mid-December that they had the state’s blessing to produce and sell tea and chocolates laced with CBD, the cannabis derivative reputed to ease anxiety and other ills without marijuana’s high.",True,True,True,0.16883468627929688
90,"Regular painkillers work as well as opioids for sprains, strains and fractures","The news story reports on the findings of a recent study published in JAMA, which evaluated the effectiveness of four painkillers in addressing acute arm or leg pain in emergency room patients. One of the painkillers was a combination of the over-the-counter medications acetaminophen and ibuprofen; the other three painkillers were combinations of acetaminophen and an opioid (oxycodone, hydrocodone or codeine). The study found that — within the two-hour window being evaluated — there was no statistical significant difference in the effectiveness of the four drugs, indicating that acetaminophen/ibuprofen is a viable alternative to opioids for addressing acute pain. The story is exceptionally concise — a news brief rather than a feature — but does a good job of describing the study and placing it in the context of the “opioid crisis” in the U.S. But much like a related news release, which we also reviewed, the story fails to place the findings in context with previous research on the relative efficacy of opioid and non-opioid painkillers. The story does a lot of things well, particularly given its brevity. It describes the study well and makes clear that the study is important because of the ongoing opioid crisis in the United States. As we noted when reviewing a news release on this study, the American Society of Addiction Medicine reports that at least 2 million Americans had an addiction to prescription painkillers in 2015 — and more than 20,000 people died from prescription painkiller overdoses in the same year. And data from the National Institute of Drug Abuse show that this problem is on the rise. However, any story about research findings will be stronger if it explains how new findings are consistent with or differ from previous research in the field. That may be especially true here. If this story aimed to highlight the finding that non-opioid painkillers are comparable in effectiveness to opioid painkillers, it could have mentioned any of several studies (cited in the journal article) that had similar findings in post-surgical settings.",Misleading,True,False,0.2042384147644043
91,“North Carolina & Virginia State line is closed. Nothing in or out.,A Facebook post said North Carolina's border with Virginia was closed. Some North Carolina local governments have restricted travel. But NC and Virginia have not blocked travel across the border.,False,True,False,0.1583094596862793
92,"""In the last 24 months, 10 rural Texas hospitals have been forced to shut their doors because state leaders"""" chose not to expand Medicaid.""","""Children’s Defense Fund-Texas said: """"In the last 24 months, 10 rural Texas hospitals have been forced to shut their doors because state leaders have chosen not to invest in our state’s health care systems by rejecting billions in available Medicaid funds to cover more of our state’s uninsured."""" Ten rural hospitals closed, we found, though different hospitals later opened on two sites. Also, as Bresette acknowledged, the non-expansion of Medicaid wasn’t the only reason for the rural closings. Our sense is they occurred due to various squeezes extending, in a few cases, to an owner’s fraudulent acts.""",False,True,False,0.19695782661437988
93,Shots more effective than FluMist in adults,"First, we acknowledge that the version of the AP story that we found in the Charlotte Observer was less than half the length (327 words) of the AP story as we found it in other newspapers (734 words). So the reporter clearly did a lot more work than what was seen in the Charlotte paper. This is a troubling practice that we've written about elsewhere on the site. Nonetheless, the article accurately summarizes the availability of flu vaccines and the primary results of the new study in the New England Journal of Medicine — the proportion of children protected from the flu by each of two tested vaccines (i.e. the vaccines’ absolute efficacy). However, the story could provide more information to help readers judge the meaning of these results, the novelty of the “new” live, inhaled vaccine, its potential harms and costs, the overall quality of the research, potential conflicts among the story’s sources, and other health measures readers can take to prevent the flu. The AP report omits mention of costs—a significant feature of any major public health initiative. It’s unfortunate that the article fails to put the data on vaccine efficacy into a meaningful context. To begin with, the advantage of the killed vaccine shots over the live FluMist vaccine was not statistically significant. But the fact the shots were just as good as the inhaled vaccine was surprising. The researchers note that the main virus they were concerned about (type A) had changed or “drifted” from the strain that was in the vaccine. Earlier studies had led them to expect that the inactivated vaccine shots would be less effective in this situation. Instead, the shots and nasal spraywere very effective (74% each, according to the new study). The killed virus was also very effective against two strains of type B virus. More information on potential harms might also allay fears associated with live vaccines. Side effects described in the New England Journal of Medicine study were mostly minor–runny nose, headache, cough, and muscle aches among those receiving the live nasal spray vaccine and sore arms among those receiving the shots. The study authors attributed one serious complication to the live (nasal) vaccine—acute pericarditis, or inflammation around the heart and major vessels—a problem that required hospitalization. A little more information about the story’s sources would also help readers assess the new research. The story (as it appeared in the Charlotte paper) quotes a single university-based vaccine expert, but does not state whether he has any potential conflicts of interest. The story fails to note that two researchers received consulting fees from pharmaceutical companies–including MedImmune, which manufactures the FluMist inhaled vaccine in partnership with the researchers’ employer, the University of Michigan. Finally, the AP report misses an opportunity to explain other measures people can take to prevent the flu. In addition to vaccination, the Centers for Disease Control and Prevention recommend several (http://www.cdc.gov/flu/protect/habits.htm). These include using antiviral drugs and good health habits (e.g. avoid close contact; stay home when sick, cover your mouth and nose; clean your hands; avoid touching your eyes, nose or mouth). It would be unfortunate if readers took away the message that flu prevention is not very effective or that a shot (or snort) has little value for the healthier members of a flu-prone community. What did the reporter put in the longer version of his story that you didn't read in the Charlotte paper? Quotes from two other physician-researchers. Caveats about interpreting the study results. Information from another flu study that appeared in the same issue of the New England Journal of Medicine. Information from an editorial in that journal. Information on the age groups approved for use of FluMist. Information on the number of flu deaths (36,000) and hospitalizations (200,000/yr.) from the flu. In other words, you missed a lot. So this is more of a review of the editing done by the Charlotte newspaper that picked up the story off the wire than it is of the work of the original AP reporter.",Misleading,True,False,0.20168304443359375
94,West St. Paul police required to speak to therapist.,A new initiative in West St. Paul requires police officers to have an annual mental health wellness checkup.,True,False,False,0.20456862449645996
95,"Antibiotic eases common stomach pain, studies find","AP included cost information, and this is a significant factor that should not have been ignored by other stories. At the same time, the lack of independent experts was a flaw. This is underscored by an unrepresentative anecdote from a glowing patient success story, even though the study itself showed that the vast majority of people did not get adequate relief. And the placebo effect alone was  significant. Because IBS treatment has been a frustrating experience for so many, even a modest improvement in symptoms that lasts a few months may be worthwhile for some. This appears to be a novel way of treating IBS, and the fact that symptoms improved at all is of interest, even if the duration of the study was short. At $21 a pill, though, one could ask hard questions about how many people are actually going to benefit and whether the treatment is a cost-effective alternative.",True,False,False,0.1971428394317627
96,The biggest job of the surgeon general is to translate health care and health care needs into plain English.,"Surgeon General is more than spokesman, oversees public health",Misleading,True,False,0.19669103622436523
97,At least 42 fatalities tallied in California's deadliest wildfire ever.,"Search teams have recovered remains of 42 people killed by a fierce wildfire that largely incinerated the town of Paradise in northern California, marking the greatest loss of life from a wild land blaze in state history, authorities said on Monday.",True,True,True,0.19673776626586914
98,The U.S. government funded Mitch McConnell's care and rehabilitation when he had polio as a child.,"However, it was operated as an innovative, nationwide nonprofit organization, not a federal or state agency, and it was not taxpayer or government-funded. The Warm Springs center visited by McConnell remained owned and operated by a nonprofit organization until 1974, when the state of Georgia took it over, making it truly government-run. Since 2014, it has been owned and operated by Augusta University.",False,True,False,0.16085410118103027
99,A growing number of states call porn a public health crisis.,"More than a dozen states have moved to declare pornography a public health crisis, raising concerns among some experts who say the label goes too far and carries its own risks.",True,True,True,0.15951132774353027
100,West St. Paul police required to speak to therapist.,A new initiative in West St. Paul requires police officers to have an annual mental health wellness checkup.,True,False,False,0.20088648796081543
101,Regular Pap smear is as effective as ThinPrep,"""In less than 350 words, this story did a fine job of summarizing a study that one ob-gyn noted """"should serve as a cautionary tale that just because something is new doesn’t mean it’s better."""" One criticism:   the story did not cite anything from an editorial accompanying the study in JAMA – an editorial that gave good perspective. Nonethless, it was a good job in a limited space.""",True,False,False,0.20012974739074707
102,"Circulation Solutions: Varicose veins can be disabling, but new remedies are easing removal","In some ways, this story about new options for getting rid of varicose veins is thorough and thoughtful. The explanations of the condition and the treatments are detailed and easy to understand. The story includes important cost information and makes good use of outside experts. We wish, though, that it had taken a little more care walking readers through the evidence, avoiding disease-mongering and putting some hard numbers to both the benefits and potential harms of the different treatment options. Varicosities are very common, and for the vast majority of people, do not pose health risks. This story is off the mark for hyping the risk of varicose veins, when the majority of people are treated for cosmetic reasons. Anytime a procedure is being touted as quick, pain-free and relatively inexpensive, readers are likely to line up in droves. This is what makes it all the more important for reporters to carefully explain the trade-offs between risks and benefits. This story does this, in part, but could have been stronger with a few key data points.",Misleading,False,False,0.2014479637145996
103,Rapunzel was quarantined in Tangled and she was from the kingdom of Corona.,"Rapunzel Was Quarantined in ‘Tangled,’ Google the Name of Her Kingdom?",Misleading,False,False,0.19913411140441895
104,"In 1862, Abraham Lincoln ordered the execution by hanging of 38 Dakota Sioux fighters.","What's true: Lincoln approved the execution of 39 Dakota men convicted by a military commission of perpetrating massacres during the Dakota War of 1862. What's false: The military commission had sentenced 303 Dakota fighters to death, but Lincoln commuted 264 of those sentences despite threats of mob violence and intense pressure to reverse his decision.",Misleading,False,False,0.19733428955078125
105,Image depicts Joe Biden and Kamala Harris at a campaign event with no masks.,"Images purportedly depicting presidential candidate Joe Biden and vice presidential candidate Kamala Harris at a rally where neither they nor the crowd used masks was framed as hypocritical, occurring after months of public dispute over the use of masks and other COVID-19 pandemic-related changes to daily life. However, the photographs were taken on March 9 2020, weeks before Americans were advised to wear masks in public situations.",False,False,True,0.20275473594665527
106,Rapunzel was quarantined in Tangled and she was from the kingdom of Corona.,"Rapunzel Was Quarantined in ‘Tangled,’ Google the Name of Her Kingdom?",Misleading,False,False,0.1996152400970459
107,“3.8% of Wisconsin’s coronavirus funding has been spent.”,"Steil cited a report from the U.S. Department of Treasury, which said Wisconsin spent or transferred 3.8% of its CARES Act funds from March 1 to June 30. But that figure doesn’t include expenses already incurred or funds already committed to programs and response efforts",Misleading,True,False,0.1979813575744629
108,"Multigene test may find risk for heart disease, diabetes and breast cancer","This Associated Press story describes a new approach aimed at analyzing genetic data to assess the risk to patients of developing five specific diseases, and giving people a “polygenic score.” The new approach looks at multiple genes at the same time, and the role they play, in developing these diseases. Many current genetic tests focus on seeking individual genes that have been changed. The story needed more caution–there are plenty of unknowns here. For example, even if a person knows their score, there’s no proof that having that number will improve health outcomes. What, for example, should a person do if they find out they’re at high risk for heart disease, but don’t have any signs of it? Also, false-positive and false-negative results could be significant. Predicting a person’s risk for serious and life-threatening diseases is valuable, both to the individual and to public health. So any refined improvement in how we gauge that risk is a true benefit. But this story uses the findings from one effort looking at a British database and extrapolates too broadly without offering readers the kinds of information they need to gauge whether there is great promise here, or just more hype.",Misleading,False,False,0.20000529289245605
109,Health Dept: Plague case reported in a Quay County ranch dog.,The New Mexico Department of Health is reporting a case of plague in a ranch dog from Quay County.,True,True,True,0.1600031852722168
110,"""Sweden was """"rocked"""" by a massive terrorist attack in February 2017.""","Although the incident was not terror-related and no information has been released regarding the identity or nationality of the suspect, the episode has nevertheless resulted in increased scrutiny over crime and migration trends in Sweden.",False,False,True,0.2026991844177246
111,“North Carolina & Virginia State line is closed. Nothing in or out.,A Facebook post said North Carolina's border with Virginia was closed. Some North Carolina local governments have restricted travel. But NC and Virginia have not blocked travel across the border.,False,True,False,0.16105341911315918
112,Rick Perry Says Sam Houston opposed slavery and as governor said Texas should not leave the union over slavery.,"""Perry said his long-ago predecessor """"was against slavery, and he stood up and very passionately said, you know, ‘Texas does not need to leave the Union over this issue of slavery.’ """" Houston’s personal views are unclear; politically, he took actions that were viewed as anti-slavery as well as actions that were pro-slavery. But he did exhort Southerners and his fellow Texans not to secede over slavery -- an unpopular stance he stuck to in hopes of preserving the Union he revered.""",Misleading,True,False,0.1621997356414795
113,China says Baxter holding up heparin investigation.,"Chinese officials said on Tuesday a Chinese-made blood thinner was not to blame for fatalities linked to the product, and accused U.S. drugmaker Baxter International Inc of obstructing the investigation into the cause of the problem.",True,True,True,0.1557614803314209
